Species,Repository,Number,Carapace-plastron_width,Length-height,ecology,Specimen_number,Unique_ID,Carapace_width_height,Hand_webbing,Source
Gopherus_agassizii,UNM,41449,1.57,2.22,terrestrial,UNM_41449,Gopherus_agassizii_UNM_41449,1.755813953,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_agassizii,UNM,41491,1.63,2.07,terrestrial,UNM_41491,Gopherus_agassizii_UNM_41491,1.694736842,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_agassizii,UNM,41639,1.64,2.21,terrestrial,UNM_41639,Gopherus_agassizii_UNM_41639,1.724489796,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_agassizii,UNM,41640,1.64,2.18,terrestrial,UNM_41640,Gopherus_agassizii_UNM_41640,1.659793814,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_agassizii,UNM,49528,1.4,2.28,terrestrial,UNM_49528,Gopherus_agassizii_UNM_49528,1.519230769,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_agassizii,FLMNH,152466,1.63,2.04,terrestrial,FLMNH_152466,Gopherus_agassizii_FLMNH_152466,1.62919708,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_berlandieri,FLMNH,62106,1.79,2.35,terrestrial,FLMNH_62106,Gopherus_berlandieri_FLMNH_62106,1.888311688,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_flavomarginatus,FLMNH,66329,1.6,1.85,terrestrial,FLMNH_66329,Gopherus_flavomarginatus_FLMNH_66329,1.599333333,0,Lichtig_and_Lucas_2017_original_measurement
Gopherus_polyphemus,FLMNH,141630,1.64,1.81,terrestrial,FLMNH_141630,Gopherus_polyphemus_FLMNH_141630,1.476770754,0,Lichtig_and_Lucas_2017_original_measurement
Graptemys_barbouri,FLMNH,155150,1.8,2.52,aquatic,FLMNH_155150,Graptemys_barbouri_FLMNH_155150,1.937229437,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_ernsti,FLMNH,6819,1.73,2.44,aquatic,FLMNH_6819,Graptemys_ernsti_FLMNH_6819,2.005102041,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_flavimaculata,FLMNH,75018,1.76,2.28,aquatic,FLMNH_75018,Graptemys_flavimaculata_FLMNH_75018,1.940803383,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_geographica,USNM,17612,1.74,2.87,aquatic,USNM_17612,Graptemys_geographica_USNM_17612,2.4,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_nigrinoda,FLMNH,62543,1.93,2.68,aquatic,FLMNH_62543,Graptemys_nigrinoda_FLMNH_62543,2.347058824,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_pseudogeographica,MPM,6828,1.9,2.67,aquatic,MPM_6828,Graptemys_psuedogeographica_MPM_6828,2.333333333,2,Lichtig_and_Lucas_2017_original_measurement
Graptemys_versa,UNM,42480,1.76,2.36,aquatic,UNM_42480,Graptemys_versa_UNM_42480,1.901639344,2,Lichtig_and_Lucas_2017_original_measurement
Heosemys_depressa,FMNH,261565,1.46,3.07,terrestrial,FMNH_261565,Heosemys_depressa_FMNH_261565,2.228915663,1,Lichtig_and_Lucas_2017_original_measurement
Heosemys_depressa,FMNH,261566,1.43,2.92,terrestrial,FMNH_261566,Heosemys_depressa_FMNH_261566,2.035714286,1,Lichtig_and_Lucas_2017_original_measurement
Heosemys_spinosa,MPM,11960,1.82,2.13,terrestrial,MPM_11960,Heosemys_spinosa_MPM_11960,2.307692308,2,Lichtig_and_Lucas_2017_original_measurement
Homopus_areolatus,FLMNH,15501,1.68,2.24,terrestrial,FLMNH_15501,Homopus_areolatus_FLMNH_15501,1.815789474,0,Lichtig_and_Lucas_2017_original_measurement
Homopus_areolatus,USNM,39420,1.56,2.33,terrestrial,USNM_39420,Homopus_areolatus_USNM_39420,1.777777778,0,Lichtig_and_Lucas_2017_original_measurement
Homopus_boulengeri,USNM,162457,1.67,3.35,terrestrial,USNM_162457,Homopus_boulengeri_USNM_162457,2.391304348,0,Lichtig_and_Lucas_2017_original_measurement
Homopus_femoralis,USNM,39418,1.57,2.13,terrestrial,USNM_39418,Homopus_femoralis_USNM_39418,1.803278689,0,Lichtig_and_Lucas_2017_original_measurement
Homopus_signatus,USNM,39419,1.49,2.43,terrestrial,USNM_39419,Homopus_signatus_USNM_39419,1.828571429,0,Lichtig_and_Lucas_2017_original_measurement
Indotestudo_forstenii,FLMNH,61556,1.44,1.2,terrestrial,FLMNH_61556,Indotestudo_forestenii_FLMNH_61556,0.874840358,0,Lichtig_and_Lucas_2017_original_measurement
Kinixys_belliana,UNM,37733,1.19,1.99,terrestrial,UNM_37733,Kinixys_belliana_UNM_37733,1.705128205,0,Lichtig_and_Lucas_2017_original_measurement
Kinixys_erosa,UNM,45054,1.34,2.14,terrestrial,UNM_45054,Kinixys_erosa_UNM_45054,1.464285714,0,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_angustipons,MPM,16625,2.33,2.49,aquatic,MPM_16625,Kinosternon_angustipons_MPM_16625,1.627906977,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_baurii,MPM,2608,1.76,2.52,aquatic,MPM_2608,Kinosternon_baurii_MPM_2608,1.888888889,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_baurii,MPM,217,1.77,2.56,aquatic,MPM_217,Kinosternon_baurii_MPM_217,1.71875,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_baurii,FLMNH,153896,1.7,2.33,aquatic,FLMNH_153896,Kinosternon_baurii_FLMNH_153896,1.545691906,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_baurii,FLMNH,153897,1.78,2.32,aquatic,FLMNH_153897,Kinosternon_baurii_FLMNH_153897,1.538288288,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,38285,1.83,2.81,aquatic,UNM_38285,Kinosternon_flavescens_UNM_38285,2.095238095,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,38403,1.76,2.34,aquatic,UNM_38403,Kinosternon_flavescens_UNM_38403,1.872340426,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,71651,1.77,2.34,aquatic,UNM_71651,Kinosternon_flavescens_UNM_71651,1.886363636,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,55988,1.66,2.44,aquatic,UNM_55988,Kinosternon_flavescens_UNM_55988,1.902439024,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,38279,1.65,2.5,aquatic,UNM_38279,Kinosternon_flavescens_UNM_38279,1.869565217,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,38403_duplicated,1.71,2.4,aquatic,UNM_38403_duplicated,Kinosternon_flavescens_UNM_38403_duplicated,1.85106383,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,52138,1.88,2.64,aquatic,UNM_52138,Kinosternon_flavescens_UNM_52138,2.25,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_flavescens,UNM,3249,1.67,2.51,aquatic,UNM_3249,Kinosternon_flavescens_UNM_3249,1.87755102,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_scorpioides,FLMNH,153877,1.56,2.62,aquatic,FLMNH_153877,Kinosternon_scorpioides_cruentatum_FLMNH_153877,1.775609756,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_sonoriense,UNM,20611,1.5,2.48,aquatic,UNM_20611,Kinosternon_sonoriense_UNM_20611,1.75,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_subrubrum,FLMNH,153872,1.82,2.35,aquatic,FLMNH_153872,Kinosternon_subrubrum_subrubrum_FLMNH_153872,1.749295775,2,Lichtig_and_Lucas_2017_original_measurement
Kinosternon_subrubrum,FLMNH,61079,1.65,2.7,aquatic,FLMNH_61079,Kinosternon_subrubrum_subrubrum_FLMNH_61079,2.085889571,2,Lichtig_and_Lucas_2017_original_measurement
Macrochelys_temminckii,UNM,39623,3.29,2.27,aquatic,UNM_39623,Macrochelys_temminckii_UNM_39623,2.090909091,2,Lichtig_and_Lucas_2017_original_measurement
Macrochelys_temminckii,UNM,39624,3.36,2.4,aquatic,UNM_39624,Macrochelys_temminckii_UNM_39624,2.35,2,Lichtig_and_Lucas_2017_original_measurement
Macrochelys_temminckii,USNM,15284,3.33,3,aquatic,USNM_15284,Macrochelys_temminckii_USNM_15284,2.607843137,2,Lichtig_and_Lucas_2017_original_measurement
Macrochelys_temminckii,FLMNH,57967,2.75,3.1,aquatic,FLMNH_57967,Macrochelys_temminckii_FLMNH_57967,2.303030303,2,Lichtig_and_Lucas_2017_original_measurement
Malaclemys_terrapin,FLMNH,39422,1.65,2.53,aquatic,FLMNH_39422,Malaclemys_terrapin_FLMNH_39422,1.820408163,2,Lichtig_and_Lucas_2017_original_measurement
